#{"solver": {"engine": {"type": "ExactEngine"}, "semiring": "GraphSemiring"}, "networks": [{"name": "mnist_net", "module": "MNIST_Net(\n  (softmax): Softmax(dim=1)\n  (encoder): Sequential(\n    (0): Conv2d(1, 6, kernel_size=(5, 5), stride=(1, 1))\n    (1): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n    (2): ReLU(inplace=True)\n    (3): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))\n    (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n    (5): ReLU(inplace=True)\n  )\n  (classifier): Sequential(\n    (0): Linear(in_features=256, out_features=120, bias=True)\n    (1): ReLU()\n    (2): Linear(in_features=120, out_features=84, bias=True)\n    (3): ReLU()\n    (4): Linear(in_features=84, out_features=10, bias=True)\n  )\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: None\n    lr: 0.001\n    maximize: False\n    weight_decay: 0\n)", "k": null}], "program": "nn(mnist_net,[X],Y,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9])::digit(X,Y).\nnumber([],Result,Result).\nnumber([H | T],Acc,Result) :- digit(H,Nr), Acc2 is Nr+10*Acc, number(T,Acc2,Result).\nnumber(X,Y) :- number(X,0,Y).\nmulti_addition(X,Y,Z) :- number(X,X2), number(Y,Y2), Z is X2+Y2.\naddition(X,Y,Z) :- digit(X,X2), digit(Y,Y2), Z is X2+Y2.\n"}
#Accuracy 0.9558
i,time,loss,ground_time,compile_time,eval_time
100,3.775969982147217,2.7618419885635377,0.03775253415107727,0.008930538892745971,0.01041318416595459
200,5.823058843612671,2.645416483283043,0.03551668643951416,0.009391041994094849,0.008571912050247193
300,7.873942852020264,2.377090883255005,0.03635617852210998,0.008955005407333374,0.008604685068130493
400,9.940342903137207,2.063388971090317,0.035732026100158694,0.0091946280002594,0.00867971897125244
500,11.972661972045898,1.233605226170621,0.036681615114212036,0.008921071290969848,0.0082787823677063
600,13.996654033660889,0.7712236148188822,0.03603374600410461,0.009063947200775146,0.008282783031463624
700,15.968538999557495,0.8380655505455797,0.03370288372039795,0.009048917293548585,0.008155745267868043
800,18.100658893585205,0.6125255999944056,0.03887323021888733,0.009210354089736939,0.008604825735092162
900,20.02675700187683,0.6375605758192251,0.03667665839195251,0.009523845911026,0.007960286140441895
1000,22.103568077087402,0.4359123448922764,0.03811942458152771,0.009323673248291016,0.00846886396408081
1100,24.06277298927307,0.4411057123337832,0.03735760807991028,0.009248437881469727,0.00786316156387329
1200,26.086151123046875,0.4282853454633732,0.03531286954879761,0.008774493932723998,0.008223483562469483
1300,27.964900970458984,0.37937017324136835,0.03303099155426025,0.00913413405418396,0.007760508060455322
1400,29.847607851028442,0.3546235506828039,0.03725659132003784,0.009413198232650757,0.007633366584777832
1500,31.79102087020874,0.476158625153912,0.03377662777900696,0.008723523616790772,0.008000580072402954
1600,33.70119094848633,0.20094159401188336,0.031308505535125736,0.00888055682182312,0.007694486379623413
1700,35.73130989074707,0.355685790761836,0.03322767734527588,0.00896962285041809,0.008139865398406982
1800,37.602566957473755,0.42885126328554973,0.04096862077713013,0.009479539394378662,0.007797482013702392
1900,39.456356048583984,0.3814305640447128,0.03293679714202881,0.008944133520126343,0.007611181735992432
2000,41.26241493225098,0.4395011418318559,0.03815227031707764,0.009146009683609008,0.007462135553359985
2100,43.06979703903198,0.34907343624858184,0.03749263644218445,0.009174983501434326,0.007491844892501831
2200,44.89122700691223,0.4921575699819186,0.03848795533180237,0.00924812912940979,0.007532870769500733
2300,46.873066902160645,0.29093684161905914,0.03565163850784302,0.009141802787780762,0.007715660333633423
2400,48.79513382911682,0.42389944282011127,0.040429222583770755,0.009445148706436157,0.007766581773757934
2500,50.591038942337036,0.1671378987632256,0.03433993458747864,0.009281786680221558,0.00733829140663147
2600,52.39616084098816,0.30172530373132667,0.03567985892295837,0.009392101764678955,0.007314009666442871
2700,54.12650108337402,0.13188262213946836,0.03494620561599732,0.009112005233764648,0.00706123948097229
2800,55.98141288757324,0.3135694748815858,0.035854785442352294,0.00924349308013916,0.007527151107788086
2900,57.8619499206543,0.34115472668156144,0.034822677373886106,0.009348379373550415,0.007599090337753296
3000,59.70759701728821,0.30497843372140276,0.03595703840255737,0.009300687313079835,0.00765485405921936
3100,61.46476674079895,0.21968737697305596,0.03240086317062378,0.009175411462783813,0.007242305278778076
3200,63.226500034332275,0.301727857430236,0.03416499614715576,0.009365143775939942,0.00719618558883667
3300,65.15342307090759,0.3522774629278683,0.038422738313674924,0.009375525712966919,0.007775459289550781
3400,67.06486392021179,0.22965715981110815,0.036120808124542235,0.009037120342254639,0.007679911851882934
3500,68.8889479637146,0.2626883297977929,0.038264650106430056,0.009233533143997193,0.0074626517295837405
3600,70.73818492889404,0.30563762388597754,0.03605013847351074,0.008999600410461425,0.00753780722618103
3700,72.62108993530273,0.3071372985790549,0.035354145765304566,0.0089791738986969,0.007681758403778076
3800,74.40156579017639,0.22589452853712577,0.03559986472129822,0.009061695337295532,0.007312031984329223
3900,76.21355104446411,0.23250353725877584,0.03517360806465149,0.008994605541229248,0.0074898159503936764
4000,77.9466609954834,0.28115866343620793,0.03447606325149536,0.009075393676757812,0.0071629822254180905
4100,79.66567492485046,0.1524906499805534,0.03817803740501404,0.00931147575378418,0.007101470232009887
4200,81.36940574645996,0.27505487763029907,0.040125324726104736,0.009402027130126953,0.007030807733535767
4300,83.20875883102417,0.18217000577119322,0.03784643888473511,0.009138453006744384,0.007338922023773193
4400,84.9553279876709,0.3656317047360339,0.039751311540603636,0.009030290842056275,0.007157211303710938
4500,86.7696328163147,0.2771023524585907,0.035659886598587036,0.008989777565002442,0.007471052408218384
4600,88.59937691688538,0.15620721437793417,0.03777220368385315,0.00926093578338623,0.0073042833805084225
4700,90.37867307662964,0.21929520266233157,0.035620903968811034,0.009229792356491089,0.007260340452194214
4800,92.1747670173645,0.08681044838919981,0.03730712532997131,0.008875998258590699,0.007256942987442017
4900,93.967129945755,0.2305607663729851,0.0317061197757721,0.008887557983398438,0.007288274765014649
