#Accuracy 0.8866666666666667
i,time,loss,ground_time,compile_time,eval_time
100,7.243761777877808,0.6024026666767895,0.4196886897087097,0.3416856694221497,0.051165144443511966
200,12.815715074539185,0.47846308029838835,0.4248757696151733,0.3406213712692261,0.050009207725524904
300,18.71765398979187,0.4140263718969072,0.4267036700248718,0.3319125819206238,0.05346384286880493
400,24.024690866470337,0.5070080168288404,0.4291408705711365,0.32030086278915404,0.04808077335357666
500,29.36105704307556,0.3609767565047514,0.4248757696151733,0.3406213712692261,0.04910762548446655
600,34.665055990219116,0.46811784460544004,0.4303594708442688,0.31449500322341917,0.04820339202880859
700,39.974859952926636,0.2937861940338189,0.423657169342041,0.34642723083496096,0.04802250862121582
800,45.80514693260193,0.3330744981952739,0.4248757696151733,0.3406213712692261,0.052474119663238526
900,51.06755995750427,0.3597539469658295,0.4267036700248718,0.3319125819206238,0.04816602468490601
1000,56.243955850601196,0.3463235921199885,0.4291408705711365,0.32030086278915404,0.04750912189483643
1100,61.64462494850159,0.28243933382589603,0.4248757696151733,0.3406213712692261,0.04956759929656982
1200,67.00667691230774,0.33596586250287147,0.4303594708442688,0.31449500322341917,0.048657419681549074
1300,72.40429496765137,0.259485301952227,0.423657169342041,0.34642723083496096,0.048963589668273924
1400,78.60474181175232,0.2566515093322414,0.4248757696151733,0.3406213712692261,0.05560122489929199
1500,83.98969793319702,0.368926598256694,0.4267036700248718,0.3319125819206238,0.04874145746231079
1600,89.26312589645386,0.3108600186095464,0.4291408705711365,0.32030086278915404,0.047851717472076415
1700,94.8544020652771,0.2429432886991708,0.4248757696151733,0.3406213712692261,0.050189683437347414
1800,100.24653697013855,0.2910738888190463,0.4303594708442688,0.31449500322341917,0.049512007236480714
1900,105.14737796783447,0.20086253525116263,0.423657169342041,0.34642723083496096,0.04516725301742554
2000,109.95967388153076,0.1938982555635266,0.4248757696151733,0.3406213712692261,0.04424050807952881
2100,115.66251182556152,0.3157656211534504,0.4267036700248718,0.3319125819206238,0.05223904132843018
2200,120.34333109855652,0.2608603184798812,0.4291408705711365,0.32030086278915404,0.04357121229171753
2300,125.45188689231873,0.22787499420186577,0.4248757696151733,0.3406213712692261,0.04675288915634155
2400,130.44413900375366,0.24320406354599983,0.4303594708442688,0.31449500322341917,0.04571780443191528
2500,135.7007269859314,0.17291282746778053,0.423657169342041,0.34642723083496096,0.048721249103546145
2600,140.55145382881165,0.17160033494041613,0.4248757696151733,0.3406213712692261,0.044629008769989015
2700,145.12979388237,0.2489035188480193,0.4267036700248718,0.3319125819206238,0.04235710144042969
2800,149.66164994239807,0.20945288309073562,0.4291408705711365,0.32030086278915404,0.04190733671188354
2900,154.79456090927124,0.18388394406601946,0.4248757696151733,0.3406213712692261,0.04734121322631836
3000,159.42498397827148,0.20104702077000638,0.4303594708442688,0.31449500322341917,0.042852354049682614
