i,time,loss,F1 detectEvent,Accuracy detectEvent
10,0.24410700798034668,1.4152801467787801,,
20,0.4478480815887451,1.3756207040199506,,
30,0.6519951820373535,1.3459501059618462,,
40,0.8579750061035156,1.3019096619681392,,
50,1.0520331859588623,1.0782165341576473,,
60,1.2372241020202637,0.8227470239908241,,
70,1.4341282844543457,0.7167879138210225,,
80,1.631418228149414,0.5354339246005002,,
90,1.8292510509490967,1.5923143148618686,,
100,2.0298681259155273,0.7735305636847656,,
110,2.22843599319458,0.269139953690425,,
120,2.4307169914245605,0.052916272519260135,,
130,2.6296582221984863,0.1804914990547405,,
140,2.8668930530548096,0.07981263730697882,,
150,3.0700302124023438,0.23629757961215964,,
160,3.270111083984375,0.43927861875624596,,
170,3.473855972290039,0.6525233022576995,,
180,3.671516180038452,0.19366175376958505,,
190,3.865180253982544,0.3128856154403139,,
200,4.062747240066528,0.058361216124439175,,
210,4.252336263656616,0.2745883343497379,,
220,4.448564052581787,0.054688192842223725,,
230,4.6477391719818115,0.044734472976625,,
240,4.838536977767944,0.018396237084359175,,
250,5.034350156784058,0.012068932656351459,,
260,5.279409170150757,0.5249894236859134,,
270,5.476767063140869,0.27896450810171414,,
280,5.668118000030518,0.04632290488038087,,
290,5.8665931224823,0.04081740743254438,,
300,6.059949159622192,0.279761709453873,,
310,6.253244161605835,0.03235532314818151,,
320,6.442975044250488,0.1883711576094603,,
330,6.706906080245972,0.07344103844575159,,
340,6.928446054458618,0.13354318358206804,,
350,7.154681205749512,0.02146806328052401,,
360,7.3524720668792725,0.055268900079259664,,
370,7.561078071594238,0.49902028504845974,,
380,7.750746250152588,0.023849347319096097,,
389,,,[0.97109827 0.97175141 0.97095436 0.969163  ],0.9706601466992665
