Epoch,Mean_Loss,Std_Dev
100,0.6147951979618519,0.024296308895556777
200,0.5056285592551576,0.017195572429409486
300,0.46068837243563027,0.02926164833111116
400,0.4783517564067001,0.04131619961461873
500,0.4234173913829727,0.04356036251523276
600,0.4502520572545764,0.06837323302661763
700,0.3522891150119246,0.035795187513006664
800,0.3609164508795656,0.0666041311790782
900,0.3883507563486273,0.02943054952086617
1000,0.36255522513640426,0.04685938176468203
1100,0.3442499775753349,0.029917132981540612
1200,0.3554048239883923,0.04499741863867885
1300,0.29023466227511563,0.024848039567334706
1400,0.28957671908371146,0.035995868609718366
1500,0.3453139817194023,0.017480485796098413
1600,0.3073521905136949,0.010994475549436607
1700,0.2738597954840215,0.03302351186357381
1800,0.3037559486122682,0.04484807267459389
1900,0.25534681266795783,0.04596981601834513
2000,0.26355678528573434,0.018360072511821198
2100,0.30300923963686,0.02914876782659572
2200,0.2449321872106584,0.0246581516786688
2300,0.22616416665497216,0.02537104416649151
2400,0.2531409181116505,0.04822186718484421
2500,0.2045824889653712,0.046432560483732385
2600,0.2559113185813119,0.05076045978758547
2700,0.2775236169636773,0.03300221327883977
2800,0.21428465099714825,0.03451283164617204
2900,0.18057458252090913,0.02593188167827528
3000,0.2251937642069363,0.06539331759702709
