Epoch,Mean_Loss,Std_Dev
100,0.6238510096892714,0.027193739327689467
200,0.5603076529712416,0.025741149446549066
300,0.45610569321084765,0.05639127264233109
400,0.43897678596265904,0.06433540978031484
500,0.44464267784122163,0.08941065872161823
600,0.407224335379745,0.11434804727744735
700,0.3208725621253491,0.06594894675825434
800,0.3782478909769006,0.0479782025002583
900,0.26167938408232383,0.0412332352862907
1000,0.25821998704620425,0.03915681285249347
1100,0.22802761473949226,0.02151546690669204
1200,0.19438247717424212,0.040071413714287074
1300,0.21032927311087274,0.023724957927615795
1400,0.2753433128921065,0.04452580931077254
1500,0.17673325410270616,0.028912573076626584
1600,0.19061161204811458,0.07056599248752878
1700,0.13432535489479475,0.016875282421683464
1800,0.12264631025688784,0.022471605373573907
1900,0.17406142986055004,0.03182315738031978
2000,0.21888582662880013,0.05436488915278374
2100,0.14197245303013806,0.03873220917761632
2200,0.11874943487160719,0.044819613195285615
2300,0.10764629250661588,0.010698450402249999
2400,0.06414746659581794,0.009852457402784832
2500,0.12049597479105563,0.03315793068691379
2600,0.15689244496674695,0.032757721877915875
2700,0.11869093480643644,0.036821759956439465
2800,0.078316151650484,0.0174353555183802
2900,0.06743389634474044,0.016112652245780748
3000,0.02464312972371776,0.011989555459127006
