Epoch,Mean_Loss,Std_Dev
100,0.5582462374642492,0.003906541705906896
200,0.5661343742609024,0.0017936563814810273
300,0.6114427873492241,0.0009861312443355144
400,0.6741394147276878,0.003691773284892361
500,0.6020274984985591,0.02215677189072518
600,0.5268944601132535,0.08188120243861158
700,0.47020812133653084,0.08416668234607685
800,0.4260782880187616,0.12051766776801812
900,0.45316814474516465,0.12234223792676945
1000,0.4099005271676578,0.08807059845670556
1100,0.33440948817154814,0.046808126617793516
1200,0.2766188830356805,0.0514656295096336
1300,0.3085247563980388,0.036764549486563554
1400,0.25520082240627556,0.02448739784009216
1500,0.25156341812646327,0.037052949605688064
1600,0.25304615173751926,0.027268278650580343
1700,0.2544931677339209,0.009300837215981161
1800,0.19343939660707948,0.029244279949040313
1900,0.21357770796528935,0.021829671030230265
2000,0.156688328176286,0.04802546373400773
2100,0.17561268742037184,0.04546600046824899
2200,0.16605241779915697,0.04633651233922317
2300,0.2196417942622208,0.011289074001454428
2400,0.1353113295058121,0.018021120686549378
2500,0.15533025277401002,0.009274899663058635
2600,0.09552895663208498,0.03788229023968234
2700,0.11791561357484488,0.046567883900706944
2800,0.12319147414713634,0.033312339449886055
2900,0.18376146106516114,0.016467762951184982
3000,0.09855655633162455,0.022010040289958913
