Epoch,Mean_Loss,Std_Dev
100,0.6017007958306931,0.014331409179246376
200,0.5108456498355372,0.037720588706506915
300,0.4354389147750334,0.01997848088105213
400,0.4662231915535813,0.01556427414873766
500,0.37881563373652166,0.02355822921086652
600,0.4325535208410728,0.039083080583805094
700,0.33634511320053384,0.010562423804097871
800,0.346134431218521,0.013720536055839644
900,0.37093569991439834,0.01619736562514943
1000,0.3664760392109179,0.0264087522021222
1100,0.30582983403607794,0.026141541249810423
1200,0.36218027827168586,0.011458532175326608
1300,0.29905795986157224,0.01961174871810951
1400,0.301829661421465,0.020942547712861612
1500,0.3265156414529738,0.00862615293623494
1600,0.30542880925278126,0.03313027862621562
1700,0.2465661692307312,0.02368846622103331
1800,0.28898048789493197,0.020819797794145434
1900,0.2623187113363385,0.03889360824635994
2000,0.27728318020661985,0.02775164745728229
2100,0.28937674665748814,0.015398168384683818
2200,0.2591188798217278,0.03417447312602925
2300,0.20572383943630115,0.030119428220821032
2400,0.2467874159967905,0.04044970483233823
2500,0.20518222716052287,0.04431135237790547
2600,0.235805497876222,0.038056277107181416
2700,0.24654225473321728,0.028739112701393118
2800,0.20422239197147468,0.029444519802652464
2900,0.15915692385859523,0.030927436784654237
3000,0.20701803620839074,0.02663601283257566
